image_name,action_high_model_uncertainty,action_high_data_uncertainty,model_uncertainty,data_uncertainty,missed_reasons,excessive_reasons
37910700-9fd7acb2,"[0, 2, 3]",[1],"[1.0, 0.5048427581787109, 1.0, 1.0]","[0.723466157913208, 0.9695826172828674, 0.723466157913208, 0.723466157913208]",[],[]
379683b4-36f23ac9,"[0, 2, 3]",[],"[1.0, 0.105837382376194, 1.0, 1.0]","[0.4033451974391937, 0.7966889142990112, 0.4033451974391937, 0.4033451974391937]",[2],[]
37f9d136-89e2a51e,"[1, 3]","[0, 2]","[0.21199597418308258, 1.0, 0.16505616903305054, 1.0]","[0.9500747919082642, 0.3960685729980469, 0.9980825185775757, 0.3960685729980469]",[3],[]
38133aab-156f3461,"[0, 2, 3]",[1],"[1.0, 0.19287510216236115, 1.0, 1.0]","[0.5355924963951111, 0.9479762315750122, 0.5355924963951111, 0.5355924963951111]","[0, 2, 3]",[1]
381c84e3-a97e713c,"[0, 3]",[1],"[1.0, 0.1717791110277176, 0.5206800699234009, 1.0]","[0.47733497619628906, 0.9723598957061768, 0.7161769270896912, 0.47733497619628906]",[],[2]
38265e6d-7e19499d,"[0, 2, 3]",[1],"[1.0, 0.13303408026695251, 1.0, 1.0]","[0.4532199501991272, 0.8625138998031616, 0.4532199501991272, 0.4532199501991272]",[],[]
3842e612-d3158d4e,"[0, 2]","[1, 3]","[1.0, 0.153302863240242, 1.0, 0.1455714851617813]","[0.3468530476093292, 0.9831717014312744, 0.3468530476093292, 0.9916592836380005]",[0],[1]
385bd4d4-a4c27129,"[0, 2, 3]",[1],"[1.0, 0.21100874245166779, 1.0, 1.0]","[0.5552767515182495, 0.9632596373558044, 0.5552767515182495, 0.5552767515182495]",[0],[1]
39878b31-bda2c5b8,"[1, 3]","[0, 2]","[0.16100256145000458, 1.0, 0.2165728658437729, 1.0]","[0.9992762804031372, 0.394920289516449, 0.9426273107528687, 0.394920289516449]",[3],[]
398c6ab2-dfbec0be,"[0, 3]","[1, 2]","[1.0, 0.33193644881248474, 0.4599192142486572, 1.0]","[0.5819864869117737, 0.981070876121521, 0.8843677043914795, 0.5819864869117737]",[],[2]
3999f30c-31a9a390,"[0, 2]",[1],"[1.0, 0.2537781894207001, 1.0, 0.7189200520515442]","[0.5747302770614624, 0.9959442615509033, 0.5747302770614624, 0.7009017467498779]",[0],"[1, 3]"
39e7b768-65946398,[1],[0],"[0.185183584690094, 1.0, 0.6766513586044312, 0.6655965447425842]","[0.9834111928939819, 0.48959335684776306, 0.6284149885177612, 0.6347071528434753]",[1],"[0, 2, 3]"
39fba3aa-71271aef,"[0, 2, 3]",[],"[1.0, 0.09445036947727203, 1.0, 1.0]","[0.37920457124710083, 0.7616074681282043, 0.37920457124710083, 0.37920457124710083]",[0],[]
3a7a8627-44bb08f1,"[1, 3]","[0, 2]","[0.30568811297416687, 1.0, 0.21602177619934082, 1.0]","[0.9153543710708618, 0.4721742570400238, 0.9969632625579834, 0.4721742570400238]","[1, 3]","[0, 2]"
3aed4a89-1c1c5c7a,"[0, 2]",[3],"[1.0, 0.36154261231422424, 1.0, 0.10533589869737625]","[0.3664061427116394, 0.7097082138061523, 0.3664061427116394, 0.9191911220550537]",[0],"[1, 3]"
3b0461c6-00750a2e,"[0, 2]",[3],"[1.0, 0.49906256794929504, 1.0, 0.21662689745426178]","[0.5177802443504333, 0.7822659015655518, 0.5177802443504333, 0.9963552355766296]",[],[3]
3b0f54aa-0b832b5f,"[0, 2, 3]",[1],"[1.0, 0.2460167407989502, 1.0, 1.0]","[0.5882773995399475, 0.9835519790649414, 0.5882773995399475, 0.5882773995399475]",[3],[]
3ba66bb8-b4d49e07,"[0, 2, 3]",[1],"[1.0, 0.1597127914428711, 1.0, 1.0]","[0.4937833845615387, 0.9086048603057861, 0.4937833845615387, 0.4937833845615387]",[],[]
3bbbd5b4-a66755c6,"[0, 1, 3]",[2],"[0.8578491806983948, 1.0, 0.171355202794075, 1.0]","[0.5560674667358398, 0.503201425075531, 0.9355639219284058, 0.503201425075531]",[3],[]
3be85fbd-90f01076,"[0, 2]","[1, 3]","[1.0, 0.1646350473165512, 1.0, 0.22149178385734558]","[0.40018585324287415, 0.9991154670715332, 0.40018585324287415, 0.9415462017059326]",[],[]
3bf2efa6-3ec49ee1,"[0, 2, 3]",[],"[1.0, 0.10196670144796371, 1.0, 1.0]","[0.3953830599784851, 0.7853376269340515, 0.3953830599784851, 0.3953830599784851]",[],[]
3c1f7f52-8255eb38,"[0, 3]","[1, 2]","[1.0, 0.7265721559524536, 0.44018346071243286, 1.0]","[0.6735819578170776, 0.801105260848999, 0.972234308719635, 0.6735819578170776]","[0, 3]","[1, 2]"
3c79d50a-785b6869,"[0, 2, 3]",[],"[1.0, 0.09511467069387436, 1.0, 1.0]","[0.38067442178726196, 0.7637993097305298, 0.38067442178726196, 0.38067442178726196]",[],[]
3cb08f5b-600500b5,"[1, 3]","[0, 2]","[0.18588140606880188, 1.0, 0.29491713643074036, 1.0]","[0.9999992847442627, 0.4458976984024048, 0.8986587524414062, 0.4458976984024048]",[],[]
3d38ec06-ae5df8d3,"[0, 2, 3]",[1],"[1.0, 0.30006664991378784, 1.0, 0.9238054752349854]","[0.6243684887886047, 0.9989031553268433, 0.6243684887886047, 0.6548142433166504]",[0],[1]
3d560ce8-ab351a8f,"[0, 2, 3]",[1],"[1.0, 0.2698068916797638, 1.0, 1.0]","[0.6076143383979797, 0.9919828176498413, 0.6076143383979797, 0.6076143383979797]","[0, 3]",[1]
3d99598e-d8b60263,"[0, 1]","[2, 3]","[1.0, 1.0, 0.20781894028186798, 0.20006288588047028]","[0.41843029856681824, 0.41843029856681824, 0.9751315712928772, 0.9829252362251282]",[0],[]
3e28bacb-1a1c8ac6,"[0, 3]",[],"[1.0, 0.08569148927927017, 0.6227742433547974, 1.0]","[0.34876489639282227, 0.7884028553962708, 0.4850102961063385, 0.34876489639282227]",[],[2]
3ea2bdc5-e8529ea1,"[0, 3]","[1, 2]","[1.0, 0.17184798419475555, 0.2000824362039566, 1.0]","[0.3951679468154907, 0.9938892126083374, 0.9647640585899353, 0.3951679468154907]",[],[2]
3eafd39c-9040c926,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[0],[]
3eb10d99-2d4fbfe4,"[0, 2, 3]",[1],"[1.0, 0.21371901035308838, 0.8986595869064331, 1.0]","[0.5528677105903625, 0.9706528782844543, 0.5915576219558716, 0.5528677105903625]",[],[2]
3f01c92b-e9d14eb8,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 2]",[]
3f56363a-dd3ef4b9,"[1, 3]","[0, 2]","[0.08185264468193054, 1.0, 0.1776101142168045, 1.0]","[0.9611237645149231, 0.28802788257598877, 0.8604170083999634, 0.28802788257598877]",[3],[2]
3fa0c870-7003bbe4,"[0, 2, 3]",[1],"[1.0, 0.23850882053375244, 1.0, 1.0]","[0.5816915035247803, 0.9800729751586914, 0.5816915035247803, 0.5816915035247803]",[0],[1]
404f9cf6-42c1d410,"[0, 2]","[1, 3]","[1.0, 0.09298974275588989, 1.0, 0.1360720694065094]","[0.2853085696697235, 0.9964745044708252, 0.2853085696697235, 0.9472106695175171]",[0],[1]
40fa8045-362d99e9,[1],"[0, 3]","[0.1756831705570221, 1.0, 0.32071933150291443, 0.23882141709327698]","[0.9747105836868286, 0.3712835907936096, 0.765169620513916, 0.880244255065918]",[],[3]
41009619-e9cb2811,"[0, 2, 3]",[],"[1.0, 0.0890042632818222, 1.0, 1.0]","[0.3668459951877594, 0.7428986430168152, 0.3668459951877594, 0.3668459951877594]",[],[]
411d00f9-e72e33ae,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 2, 3]",[]
4158b0cd-c75ffaa4,"[0, 2, 3]",[1],"[1.0, 0.17444828152656555, 1.0, 1.0]","[0.513390839099884, 0.9281752705574036, 0.513390839099884, 0.513390839099884]",[],[]
415abfb6-91780b65,"[0, 2, 3]",[1],"[1.0, 0.1506240963935852, 1.0, 1.0]","[0.48075494170188904, 0.8945928812026978, 0.48075494170188904, 0.48075494170188904]",[],[]
420f02b0-dd36365a,"[0, 1, 2, 3]",[1],"[1.0, 0.8184220790863037, 1.0, 1.0]","[0.789783239364624, 0.8679622411727905, 0.789783239364624, 0.789783239364624]",[],[]
420fb34a-27328a7f,"[0, 2]","[1, 3]","[1.0, 0.16870856285095215, 1.0, 0.3626653850078583]","[0.4483451247215271, 0.9913329482078552, 0.4483451247215271, 0.8238129615783691]",[0],"[1, 3]"
422791db-cd971fed,"[0, 2, 3]",[1],"[1.0, 0.15947850048542023, 1.0, 1.0]","[0.4934569001197815, 0.9082633256912231, 0.4934569001197815, 0.4934569001197815]","[0, 3]",[1]
4238629f-955fd7df,"[1, 3]","[0, 2]","[0.08589963614940643, 1.0, 0.1531781554222107, 1.0]","[0.9827464818954468, 0.2846057713031769, 0.9083265662193298, 0.2846057713031769]",[],[2]
42cbff23-9151eec6,"[1, 2]",[0],"[0.1453274041414261, 1.0, 1.0, 0.4030744135379791]","[0.9675683975219727, 0.429802805185318, 0.429802805185318, 0.7571513652801514]",[],[3]
42d197eb-a2ca2adc,"[0, 2, 3]",[1],"[1.0, 0.13906502723693848, 1.0, 1.0]","[0.4630299210548401, 0.874313235282898, 0.4630299210548401, 0.4630299210548401]",[3],[]
43554111-daf06e85,"[1, 3]","[0, 2]","[0.2564207911491394, 1.0, 0.51722651720047, 1.0]","[0.9999867677688599, 0.5509891510009766, 0.8061971664428711, 0.5509891510009766]",[3],[2]
43895249-043e7d13,"[1, 2, 3]",[0],"[0.2747591733932495, 1.0, 1.0, 1.0]","[0.9932966232299805, 0.6113712191581726, 0.6113712191581726, 0.6113712191581726]",[1],[0]
43a5708e-e4167179,"[1, 2, 3]",[0],"[0.22799430787563324, 1.0, 1.0, 1.0]","[0.9744454622268677, 0.572036862373352, 0.572036862373352, 0.572036862373352]",[1],[0]
43bef9b7-2f655efe,"[1, 3]","[0, 2]","[0.1570991426706314, 1.0, 0.2991679310798645, 0.9976248145103455]","[0.9945158362388611, 0.4209066331386566, 0.8627564907073975, 0.42160165309906006]",[],[]
43ec9b0f-3c69778e,"[1, 3]",[0],"[0.1320199966430664, 1.0, 0.37298697233200073, 1.0]","[0.9594079256057739, 0.40777409076690674, 0.7578981518745422, 0.40777409076690674]",[],[2]
43f61d4d-25078e4b,"[0, 1]","[2, 3]","[0.908410906791687, 1.0, 0.5373484492301941, 0.39001592993736267]","[0.6546937227249146, 0.617883563041687, 0.8624050617218018, 0.9666461944580078]",[],[]
4410a4f7-b06b6a5d,"[0, 2]",[3],"[1.0, 0.4847642481327057, 1.0, 0.19065867364406586]","[0.4921345114707947, 0.7631255388259888, 0.4921345114707947, 0.9883334636688232]",[0],"[1, 3]"
443181a5-d8a25568,"[0, 2, 3]",[1],"[1.0, 0.17389003932476044, 1.0, 1.0]","[0.5126796960830688, 0.9274986982345581, 0.5126796960830688, 0.5126796960830688]",[],[]
4446463f-947785a4,"[0, 2, 3]",[1],"[1.0, 0.14774243533611298, 1.0, 1.0]","[0.4764620065689087, 0.8898073434829712, 0.4764620065689087, 0.4764620065689087]",[],[]
4460b3df-2ec59647,"[0, 2, 3]",[1],"[1.0, 0.1548062413930893, 1.0, 1.0]","[0.48684412240982056, 0.9012388586997986, 0.48684412240982056, 0.48684412240982056]",[],[]
4460c87d-32453e57,"[0, 2, 3]",[1],"[1.0, 0.21228903532028198, 1.0, 1.0]","[0.5565937161445618, 0.9642012119293213, 0.5565937161445618, 0.5565937161445618]",[],[]
4465d1eb-3ea63490,"[1, 3]","[0, 2]","[0.15014122426509857, 1.0, 0.09213723987340927, 1.0]","[0.9260740876197815, 0.2916659116744995, 0.990870475769043, 0.2916659116744995]",[3],[]
44a85c2f-cdcdfa10,"[0, 3]",[2],"[1.0, 0.7531557679176331, 0.34033194184303284, 1.0]","[0.6333279609680176, 0.7450896501541138, 0.9972119331359863, 0.6333279609680176]",[3],[2]
44c8ef75-37dd9bc2,"[1, 3]","[0, 2]","[0.09874285757541656, 1.0, 0.16683492064476013, 0.801480233669281]","[0.9923849105834961, 0.304965078830719, 0.9111104011535645, 0.3581279218196869]",[1],"[0, 3]"
44d6eab6-d0dbfd5c,"[0, 3]","[1, 2]","[1.0, 0.5370988249778748, 0.5111095905303955, 1.0]","[0.661962628364563, 0.9043763875961304, 0.9212012887001038, 0.661962628364563]",[],[]
4524d988-d6ca68ca,"[0, 3]",[1],"[1.0, 0.20569299161434174, 0.5220861434936523, 1.0]","[0.5116693377494812, 0.991599977016449, 0.7569195032119751, 0.5116693377494812]",[],[]
457c091b-6062d3ac,"[0, 2]","[1, 3]","[1.0, 0.3109365701675415, 1.0, 0.37934067845344543]","[0.5501314401626587, 0.976277232170105, 0.5501314401626587, 0.9206637144088745]",[2],[3]
45b69bf0-c450e847,"[0, 2, 3]",[],"[1.0, 0.0601038858294487, 1.0, 1.0]","[0.2903008759021759, 0.6167195439338684, 0.2903008759021759, 0.2903008759021759]",[],[]
45f6baaf-2b2f52f1,"[0, 3]",[1],"[1.0, 0.3637053072452545, 0.7033320069313049, 1.0]","[0.6391696929931641, 0.9914214611053467, 0.7786910533905029, 0.6391696929931641]",[0],[1]
4606ec1b-06914218,"[1, 2, 3]",[0],"[0.7745482325553894, 1.0, 1.0, 1.0]","[0.8823573589324951, 0.7832763195037842, 0.7832763195037842, 0.7832763195037842]",[1],[0]
467b6c54-e35e1eac,"[0, 3]",[1],"[1.0, 0.0806746631860733, 0.4269575774669647, 1.0]","[0.326434463262558, 0.8258770704269409, 0.5840645432472229, 0.326434463262558]",[3],[2]
46cdc4fa-976e766e,"[0, 2]",[1],"[1.0, 0.08568713814020157, 1.0, 0.27465593814849854]","[0.31851133704185486, 0.9106323719024658, 0.31851133704185486, 0.7420951128005981]",[],[3]
4700ea55-0f83d75e,"[0, 2]",[1],"[1.0, 0.17895497381687164, 1.0, 0.7730318903923035]","[0.5076858401298523, 0.9513108730316162, 0.5076858401298523, 0.5988470315933228]",[],[3]
47698026-1ac91674,"[1, 3]","[0, 2]","[0.25643306970596313, 1.0, 0.4410354793071747, 1.0]","[0.9985370635986328, 0.5363435745239258, 0.8521971702575684, 0.5363435745239258]",[],[]
47c671df-b8596c86,"[0, 2]",[1],"[1.0, 0.1035936251282692, 1.0, 0.5010459423065186]","[0.37799450755119324, 0.8722565770149231, 0.37799450755119324, 0.6003140807151794]",[],[3]
47ca146d-dd0dd2d8,"[1, 3]",[2],"[0.6858848929405212, 1.0, 0.22708630561828613, 1.0]","[0.691866397857666, 0.5497111678123474, 0.9895375967025757, 0.5497111678123474]",[1],"[0, 2]"
48144b9f-e5c7e303,"[0, 2, 3]",[],"[1.0, 0.08102872967720032, 1.0, 1.0]","[0.347686767578125, 0.712939441204071, 0.347686767578125, 0.347686767578125]",[0],[1]
4869958a-1e96d416,"[1, 2, 3]",[0],"[0.17381201684474945, 1.0, 1.0, 1.0]","[0.9274035692214966, 0.5125802159309387, 0.5125802159309387, 0.5125802159309387]","[1, 2]",[0]
488cba8c-df676b86,"[0, 2, 3]",[],"[1.0, 0.0856938511133194, 1.0, 1.0]","[0.359052836894989, 0.7308502793312073, 0.359052836894989, 0.359052836894989]",[],[]
48ba7adf-a9c95b30,"[0, 2, 3]",[1],"[1.0, 0.13092544674873352, 1.0, 1.0]","[0.4496927261352539, 0.8581745624542236, 0.4496927261352539, 0.4496927261352539]",[],[]
48ef65d8-f1c6231f,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[1],[]
490049f7-7d6a141d,"[0, 2, 3]",[1],"[1.0, 0.2521760165691376, 1.0, 1.0]","[0.5934997797012329, 0.9860962629318237, 0.5934997797012329, 0.5934997797012329]",[],[]
491a8e99-8665cd7b,"[0, 3]","[1, 2]","[1.0, 0.5011617541313171, 0.5211252570152283, 1.0]","[0.6556005477905273, 0.9222896099090576, 0.9091612100601196, 0.6556005477905273]",[],[2]
491d1b35-c457d2d8,"[0, 2, 3]",[],"[1.0, 0.05698433890938759, 1.0, 1.0]","[0.28069835901260376, 0.5997257828712463, 0.28069835901260376, 0.28069835901260376]",[],[]
4923e2e2-fd20e44f,"[0, 2, 3]",[],"[1.0, 0.051853153854608536, 1.0, 1.0]","[0.2642039656639099, 0.5699691772460938, 0.2642039656639099, 0.2642039656639099]",[],[]
496470d2-fcc72e11,"[0, 2]",[1],"[1.0, 0.1648901402950287, 1.0, 0.4451102912425995]","[0.45935243368148804, 0.9774583578109741, 0.45935243368148804, 0.7562798261642456]",[],[3]
496bb34a-7ec5abd5,"[1, 2]",[3],"[0.25541889667510986, 1.0, 1.0, 0.08753905445337296]","[0.7706257104873657, 0.3181445598602295, 0.3181445598602295, 0.9259188175201416]",[1],"[0, 3]"
49765306-6f316997,"[0, 2, 3]",[1],"[1.0, 0.10794643312692642, 1.0, 1.0]","[0.40758392214775085, 0.8026412725448608, 0.40758392214775085, 0.40758392214775085]",[],[]
49b0144c-de5b3e1b,"[0, 2, 3]",[],"[1.0, 0.1031341478228569, 1.0, 1.0]","[0.3978099822998047, 0.7888208627700806, 0.3978099822998047, 0.3978099822998047]",[],[]
49d2a764-0d71740d,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[0],[]
4a021d46-313bbb11,"[0, 3]",[2],"[1.0, 0.7969911694526672, 0.437380850315094, 1.0]","[0.6811063289642334, 0.7717543840408325, 0.9778544902801514, 0.6811063289642334]",[],[2]
4a0535b9-24bfeb9f,"[0, 1, 3]",[2],"[0.8820846080780029, 1.0, 0.20198982954025269, 1.0]","[0.5848406553268433, 0.5398886203765869, 0.9632459878921509, 0.5398886203765869]",[1],"[0, 2]"
4a2d58c5-58cfae48,"[1, 3]","[0, 2]","[0.0974382609128952, 1.0, 0.20389819145202637, 1.0]","[0.9722134470939636, 0.3204594552516937, 0.8630790710449219, 0.3204594552516937]",[1],[0]
4a56aaa8-69cbcefc,"[1, 3]","[0, 2]","[0.18512113392353058, 1.0, 0.10911928862333298, 1.0]","[0.9108696579933167, 0.3288884162902832, 0.991820216178894, 0.3288884162902832]",[],[2]
4a73ef4e-f1727635,"[1, 2, 3]",[0],"[0.5839406251907349, 1.0, 1.0, 1.0]","[0.9454657435417175, 0.7456697225570679, 0.7456697225570679, 0.7456697225570679]",[],[]
4a83cb52-00d64095,"[0, 2, 3]",[1],"[1.0, 0.10911647230386734, 1.0, 1.0]","[0.40990588068962097, 0.8058750629425049, 0.40990588068962097, 0.40990588068962097]",[],[]
4b7763f4-c404e848,"[0, 3]",[1],"[1.0, 0.10231702774763107, 0.4624009430408478, 1.0]","[0.37244176864624023, 0.8796863555908203, 0.6226546764373779, 0.37244176864624023]",[],[2]
4b7d3d7b-5641be1f,"[0, 1, 3]",[2],"[1.0, 1.0, 0.25829973816871643, 1.0]","[0.5985382795333862, 0.5985382795333862, 0.9883661866188049, 0.5985382795333862]",[0],[2]
4be6c79f-cb1bf4b3,"[0, 2, 3]",[1],"[1.0, 0.21411313116550446, 1.0, 1.0]","[0.5584542751312256, 0.9655137062072754, 0.5584542751312256, 0.5584542751312256]",[0],[1]
4c3ba2b5-972473ab,"[0, 2, 3]",[],"[1.0, 0.05217666178941727, 1.0, 1.0]","[0.2652709186077118, 0.5719153881072998, 0.2652709186077118, 0.2652709186077118]",[],[]
4c4fa1be-d9f67481,[0],"[1, 3]","[1.0, 0.3110014796257019, 0.42931583523750305, 0.20221677422523499]","[0.4264880120754242, 0.8552429676055908, 0.7273444533348083, 0.9859750270843506]",[],"[2, 3]"
4c753273-33ed2c89,"[0, 2, 3]",[1],"[1.0, 0.14895597100257874, 1.0, 1.0]","[0.478279709815979, 0.8918437361717224, 0.478279709815979, 0.478279709815979]",[],[]
4caf3105-e6e850ed,"[1, 3]","[0, 2]","[0.18204373121261597, 1.0, 0.11544402688741684, 1.0]","[0.9248396158218384, 0.3349369168281555, 0.9962196350097656, 0.3349369168281555]",[1],"[0, 2]"
4ce22ce5-1bb06ebd,"[0, 2, 3]",[],"[1.0, 0.07164556533098221, 1.0, 1.0]","[0.32334503531455994, 0.6732744574546814, 0.32334503531455994, 0.32334503531455994]",[],[]
4cf27093-1c1058cf,"[1, 2]","[0, 3]","[0.18811263144016266, 1.0, 1.0, 0.3322490155696869]","[0.9993657469749451, 0.4589146375656128, 0.4589146375656128, 0.8706303834915161]",[1],"[0, 3]"
4d5138ef-6e80d25a,"[0, 2, 3]",[1],"[1.0, 0.3237760365009308, 1.0, 1.0]","[0.644363284111023, 0.999847412109375, 0.644363284111023, 0.644363284111023]",[],[]
4d97e3fb-537b9098,"[0, 1, 3]",[2],"[1.0, 1.0, 0.5724821090698242, 1.0]","[0.7427598237991333, 0.7427598237991333, 0.9491182565689087, 0.7427598237991333]",[1],[]
4db76be7-286c1972,"[0, 2, 3]",[],"[1.0, 0.0671474039554596, 1.0, 1.0]","[0.310904860496521, 0.6523398160934448, 0.310904860496521, 0.310904860496521]",[],[]
4ea3afd7-30ebede6,"[0, 2, 3]",[],"[1.0, 0.06977979093790054, 1.0, 1.0]","[0.31824934482574463, 0.6647524237632751, 0.31824934482574463, 0.31824934482574463]",[],[]
4eb41b4e-21213090,"[1, 3]","[0, 2]","[0.48352062702178955, 1.0, 0.3977220952510834, 1.0]","[0.8979533910751343, 0.6146202087402344, 0.9594223499298096, 0.6146202087402344]",[],[2]
4f49ac2c-8bebd881,"[0, 2]","[1, 3]","[1.0, 0.14084915816783905, 1.0, 0.09441721439361572]","[0.28971976041793823, 0.9431461095809937, 0.28971976041793823, 0.9958574771881104]",[],[3]
4fdb7b4c-27538ef9,"[0, 1, 2]",[3],"[1.0, 1.0, 1.0, 0.12549614906311035]","[0.4403671622276306, 0.4403671622276306, 0.4403671622276306, 0.8464614152908325]","[1, 2]",[]
4feec415-e6a47401,"[0, 2]","[1, 3]","[1.0, 0.2883395552635193, 1.0, 0.544636070728302]","[0.5760811567306519, 0.9981685876846313, 0.5760811567306519, 0.8134480118751526]",[],[3]
502f4aa2-c281baea,"[1, 2, 3]",[0],"[0.14509212970733643, 1.0, 1.0, 1.0]","[0.885251522064209, 0.4724413752555847, 0.4724413752555847, 0.4724413752555847]","[1, 3]",[0]
503cfff6-b8366b99,"[0, 2, 3]",[1],"[1.0, 0.3433225452899933, 1.0, 1.0]","[0.6557040810585022, 0.9998427629470825, 0.6557040810585022, 0.6557040810585022]",[],[]
5050a2ca-1ec7a51f,"[0, 2, 3]",[1],"[1.0, 0.1766493171453476, 1.0, 1.0]","[0.5161713361740112, 0.930796205997467, 0.5161713361740112, 0.5161713361740112]",[],[]
505530df-54063c09,"[0, 3]",[1],"[1.0, 0.1779947429895401, 0.6707250475883484, 1.0]","[0.49925416707992554, 0.9602956175804138, 0.6430286169052124, 0.49925416707992554]",[],[2]
506b3495-09d0f9ee,"[0, 1, 3]",[2],"[1.0, 1.0, 0.4359382390975952, 0.8625056147575378]","[0.6874041557312012, 0.6874041557312012, 0.9817523956298828, 0.746436357498169]",[0],[]
506b3495-5a9c3d6b,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[2],[]
506f71bd-24a39fd2,"[0, 2, 3]",[1],"[1.0, 0.1792900264263153, 1.0, 1.0]","[0.5194593667984009, 0.9338445663452148, 0.5194593667984009, 0.5194593667984009]",[],[]
5096d11c-058ed0c9,"[1, 3]",[2],"[0.7344381809234619, 1.0, 0.1517355740070343, 1.0]","[0.5758370757102966, 0.4705227315425873, 0.9226783514022827, 0.4705227315425873]",[3],[]
50b115d6-2e79dcbe,[2],[3],"[0.5290996432304382, 0.409873902797699, 1.0, 0.18124255537986755]","[0.6673084497451782, 0.7690520286560059, 0.4437355101108551, 0.999783992767334]",[2],[1]
50b5f3d5-10b3d48f,"[0, 2]","[1, 3]","[1.0, 0.2293356955051422, 1.0, 0.20794279873371124]","[0.4348992109298706, 0.9650499224662781, 0.4348992109298706, 0.986038327217102]",[],[3]
50dac904-04986081,"[0, 3]","[1, 2]","[1.0, 0.44723114371299744, 0.5994898676872253, 1.0]","[0.6562726497650146, 0.95713210105896, 0.858877420425415, 0.6562726497650146]",[0],"[1, 2]"
50e560a5-ac2f7176,"[0, 2, 3]",[1],"[1.0, 0.29157260060310364, 1.0, 1.0]","[0.6235048770904541, 0.9967762231826782, 0.6235048770904541, 0.6235048770904541]",[],[]
51a46312-e6aabcc0,"[0, 2, 3]",[],"[1.0, 0.10584866255521774, 1.0, 1.0]","[0.40336814522743225, 0.7967211604118347, 0.40336814522743225, 0.40336814522743225]",[0],[1]
5220a19e-f826da92,"[0, 2, 3]",[1],"[1.0, 0.1440984010696411, 1.0, 1.0]","[0.47091561555862427, 0.8835041522979736, 0.47091561555862427, 0.47091561555862427]",[],[]
5262ac9b-f333b390,"[0, 2, 3]",[1],"[1.0, 0.1316797137260437, 1.0, 1.0]","[0.45096033811569214, 0.8597400188446045, 0.45096033811569214, 0.45096033811569214]",[],[]
533034c2-69190678,"[1, 2, 3]",[],"[0.0972195565700531, 1.0, 1.0, 1.0]","[0.7706204652786255, 0.3852792978286743, 0.3852792978286743, 0.3852792978286743]",[3],[]
533daa45-62679a3a,"[0, 2, 3]",[],"[1.0, 0.08860645443201065, 1.0, 1.0]","[0.3659210205078125, 0.741478681564331, 0.3659210205078125, 0.3659210205078125]",[],[]
53e36dd9-1e5e0f6c,"[0, 2, 3]",[1],"[1.0, 0.17637409269809723, 1.0, 1.0]","[0.515825629234314, 0.9304725527763367, 0.515825629234314, 0.515825629234314]",[],[]
542229b3-7ea77128,"[1, 3]","[0, 2]","[0.14042726159095764, 1.0, 0.11036991328001022, 1.0]","[0.9658671617507935, 0.3072715401649475, 0.9999919533729553, 0.3072715401649475]",[],[0]
5437b575-c11ad7bf,"[0, 2, 3]",[],"[1.0, 0.10225708782672882, 1.0, 1.0]","[0.3959888219833374, 0.786208987236023, 0.3959888219833374, 0.3959888219833374]",[3],[]
5503a6e2-77963891,"[1, 3]","[0, 2]","[0.09655429422855377, 1.0, 0.12321379035711288, 1.0]","[0.9999001026153564, 0.28147101402282715, 0.9688217043876648, 0.28147101402282715]",[],[2]
55095e84-03db78b6,"[0, 2, 3]",[],"[1.0, 0.043557412922382355, 1.0, 1.0]","[0.23548084497451782, 0.5164927244186401, 0.23548084497451782, 0.23548084497451782]",[],[]
553c3b79-1a35db3e,"[1, 3]","[0, 2]","[0.08262530714273453, 1.0, 0.139618918299675, 1.0]","[0.9861632585525513, 0.2736233174800873, 0.9217345714569092, 0.2736233174800873]",[3],[]
556613e6-b8fc8dec,"[1, 3]",[0],"[0.1900513470172882, 1.0, 0.4562828242778778, 1.0]","[0.9907367825508118, 0.48706215620040894, 0.7811970710754395, 0.48706215620040894]",[1],[2]
55750ce4-c96c6817,"[0, 2]","[1, 3]","[1.0, 0.3856808841228485, 0.9824348092079163, 0.30144184827804565]","[0.5467391014099121, 0.9118756055831909, 0.5530034303665161, 0.9807180166244507]",[],"[2, 3]"
